Rk,Player,WS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Derrick Coleman,5.8,1990-91,23,NJN,74,68,0,5.8,106,106,2.4,3.4,.108,0.7,-0.3,0.4,1.5,17.6,10.4,20.5,15.3,9.8,1.3,2.2,14.4,23.3,F-C,colemde01
2,Felton Spencer,5.6,1990-91,23,MIN,81,46,0,5.6,121,108,3.5,2.1,.128,-2.3,-0.4,-2.6,-0.3,13.8,14.1,21.8,17.7,1.6,1.2,3.7,13.5,11.7,C,spencfe01
3,Dee Brown,3.5,1990-91,22,BOS,82,5,0,3.5,108,109,1.8,1.8,.087,-0.9,0.0,-0.9,0.5,13.2,2.5,7.4,5.2,22.5,2.1,0.4,16.7,17.7,G,brownde01
4,Gary Payton,3.4,1990-91,22,SEA,82,82,0,3.4,104,108,1.0,2.4,.073,-0.5,1.3,0.8,1.6,13.2,5.7,7.3,6.5,30.8,3.7,0.4,22.6,14.9,G,paytoga01
5,Duane Causwell,2.8,1990-91,22,SAC,76,55,0,2.8,103,106,0.6,2.2,.079,-2.7,1.3,-1.4,0.3,13.0,9.1,16.9,12.9,6.1,1.4,5.5,16.5,14.8,C,causwdu01
6,Lionel Simmons,2.7,1990-91,22,SAC,79,79,0,2.7,97,106,-0.9,3.6,.044,-0.5,0.1,-0.4,1.2,15.4,7.2,19.7,13.3,17.7,1.9,1.8,13.4,25.3,F-G,simmoli01
7,Dennis Scott,2.6,1990-91,22,ORL,82,73,0,2.6,104,112,1.4,1.2,.054,-0.2,-1.3,-1.5,0.3,13.0,2.8,8.3,5.5,9.3,1.3,0.6,9.1,24.4,F,scottde01
8,Loy Vaught,2.2,1990-91,22,LAC,73,0,0,2.2,107,107,0.8,1.4,.091,-2.0,-0.9,-2.9,-0.3,12.1,11.1,20.9,16.0,4.8,0.8,1.2,11.1,15.2,F,vaughlo01
9,Willie Burton,2.1,1990-91,22,MIA,76,26,0,2.1,101,110,0.5,1.6,.052,-2.8,-0.7,-3.4,-0.7,11.5,6.3,8.9,7.6,8.5,1.8,0.8,13.8,22.1,F-G,burtowi01
10,Tyrone Hill,2.1,1990-91,22,GSW,74,22,0,2.1,108,108,0.9,1.1,.084,-3.3,-1.4,-4.7,-0.8,10.5,14.5,20.9,17.7,2.1,1.3,1.5,16.4,14.7,F,hillty01
11,Travis Mays,2.1,1990-91,22,SAC,64,55,0,2.1,102,112,0.8,1.3,.047,-0.8,-1.1,-1.9,0.0,12.3,2.8,6.7,4.7,18.3,1.9,0.3,15.5,21.0,G,maystr01
12,Kendall Gill,1.8,1990-91,22,CHH,82,36,0,1.8,100,110,0.2,1.6,.044,0.3,0.4,0.7,1.3,15.4,6.0,9.6,7.8,24.5,2.6,1.2,15.1,23.6,G,gillke01
13,Mario Elie,1.6,1990-91,27,GSWPHI,33,0,0,1.6,122,112,1.3,0.3,.122,0.3,-0.5,-0.2,0.3,12.9,7.9,10.9,9.4,9.0,1.4,0.9,13.1,14.2,G-F,eliema01
14,Terry Mills,1.3,1990-91,23,DENNJN,55,2,0,1.3,105,108,0.4,0.9,.078,-2.1,-0.5,-2.7,-0.1,13.6,9.5,19.3,14.1,5.5,1.9,2.0,11.9,16.8,F,millste01
15,Cedric Ceballos,1.3,1990-91,21,PHO,63,0,0,1.3,104,109,0.6,0.7,.085,0.3,-2.5,-2.1,0.0,17.8,12.1,10.4,11.2,7.7,1.4,0.4,12.3,31.3,F,cebalce01
16,Steve Henson,1.2,1990-91,22,MIL,68,0,0,1.2,109,110,0.7,0.6,.085,-1.5,-0.1,-1.6,0.1,11.5,2.4,6.5,4.4,26.2,2.3,0.0,17.2,15.6,G,hensost01
17,Jud Buechler,1.2,1990-91,22,NJN,74,10,0,1.2,105,109,0.4,0.8,.065,-2.3,0.2,-2.1,0.0,10.0,7.2,10.2,8.6,8.2,1.9,1.0,9.3,13.1,F-G,buechju01
18,Bimbo Coles,1.1,1990-91,22,MIA,82,9,0,1.1,98,109,-0.1,1.2,.038,-2.7,0.3,-2.3,-0.1,10.4,4.5,8.1,6.3,24.1,2.3,0.5,18.4,16.0,G,colesbi01
19,Elden Campbell,1.1,1990-91,22,LAL,52,0,0,1.1,108,101,0.4,0.7,.135,-3.0,1.6,-1.4,0.1,14.5,12.8,16.4,14.7,3.8,1.5,5.9,10.0,18.4,C,campbel01
20,Danny Ferry,1.0,1990-91,24,CLE,81,2,0,1.0,98,110,-0.4,1.3,.028,-2.9,-1.0,-4.0,-0.8,10.9,6.9,13.0,10.0,13.0,1.3,0.9,14.5,21.8,F,ferryda01
21,Scott Williams,0.9,1990-91,22,CHI,51,0,0,0.9,109,103,0.4,0.5,.129,-2.2,-0.5,-2.7,-0.1,14.7,14.9,19.3,17.1,6.2,1.8,2.4,16.5,17.7,F-C,willisc01
22,Kenny Williams,0.7,1990-91,21,IND,75,0,0,0.7,105,111,0.4,0.4,.068,-1.6,-0.9,-2.5,-0.1,13.9,12.6,15.8,14.3,8.5,1.0,3.5,16.9,19.3,F,willike03
23,Anthony Bonner,0.7,1990-91,22,SAC,34,6,0,0.7,97,107,-0.2,0.8,.044,-1.9,-0.2,-2.1,0.0,12.2,8.7,15.8,12.2,10.1,2.6,0.4,13.5,17.7,F,bonnean01
24,Steve Scheffler,0.6,1990-91,23,CHH,39,0,0,0.6,135,112,0.5,0.1,.132,-0.2,-0.9,-1.1,0.0,12.4,10.3,12.5,11.4,5.3,1.3,0.5,7.7,9.8,C-F,schefst01
25,Negele Knight,0.6,1990-91,23,PHO,64,6,0,0.6,99,110,0.0,0.6,.037,-0.9,-1.7,-2.7,-0.1,12.1,2.9,6.7,4.9,32.6,1.2,0.5,17.4,22.4,G,knighne01
26,Greg Foster,0.6,1990-91,22,WSB,54,3,0,0.6,98,107,-0.1,0.7,.046,-4.2,-0.3,-4.4,-0.4,10.9,9.3,17.9,13.6,8.8,1.0,2.1,15.9,19.5,F-C,fostegr01
27,Keith Askins,0.6,1990-91,23,MIA,39,1,0,0.6,106,104,0.2,0.4,.103,-1.1,1.0,-0.2,0.1,13.5,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,G-F,askinke01
28,Andy Toolson,0.6,1990-91,25,UTA,47,15,0,0.6,101,108,0.1,0.5,.057,-2.7,-0.1,-2.8,-0.1,8.4,8.6,8.2,8.4,9.3,1.5,0.3,14.8,15.3,G-F,toolsan01
29,Henry James,0.6,1990-91,25,CLE,37,4,0,0.6,101,110,0.2,0.4,.053,-0.1,-2.0,-2.1,0.0,14.7,6.0,12.1,9.1,10.6,1.5,0.6,11.5,27.9,F,jameshe01
30,Tony Smith,0.5,1990-91,22,LAL,64,1,0,0.5,96,106,-0.3,0.8,.037,-2.6,0.4,-2.2,0.0,10.9,4.2,7.5,5.9,27.6,2.1,1.0,22.0,19.7,G,smithto02
31,Anthony Cook,0.5,1990-91,23,DEN,58,25,0,0.5,100,113,0.0,0.5,.022,-2.8,-1.2,-3.9,-0.6,10.7,10.3,17.9,13.7,2.6,1.3,3.4,12.8,12.3,F-C,cookan01
