Rk,Player,WS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Michael Jordan,20.4,1995-96,32,CHI,82,82,1,20.4,124,100,14.2,6.2,.317,8.3,2.2,10.5,9.8,29.4,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,G-F,jordami01
2,Michael Jordan,20.3,1990-91,27,CHI,82,82,1,20.3,125,102,14.9,5.4,.321,8.9,3.2,12.0,10.8,31.6,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,G-F,jordami01
3,LeBron James,20.3,2008-09,24,CLE,81,81,1,20.3,122,99,13.7,6.5,.318,9.5,3.7,13.2,11.8,31.7,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,F-G,jamesle01
4,David Robinson,20.0,1993-94,28,SAS,80,80,1,20.0,119,98,13.3,6.7,.296,8.1,3.8,11.9,11.4,30.7,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,C,robinda01
5,LeBron James,19.3,2012-13,28,MIA,76,76,1,19.3,125,101,14.6,4.7,.322,9.3,2.4,11.7,9.9,31.6,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,F-G,jamesle01
6,Kevin Durant,19.2,2013-14,25,OKC,81,81,1,19.2,123,104,14.8,4.4,.295,8.8,1.4,10.2,9.6,29.8,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,F-G,duranke01
7,Kevin Durant,18.9,2012-13,24,OKC,81,81,1,18.9,122,100,13.6,5.3,.291,7.6,1.7,9.3,8.9,28.3,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,F-G,duranke01
8,Shaquille O'Neal,18.6,1999-00,27,LAL,79,79,1,18.6,115,95,11.7,7.0,.283,7.3,2.0,9.3,9.0,30.6,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,C,onealsh01
9,LeBron James,18.5,2009-10,25,CLE,76,76,1,18.5,121,102,13.3,5.2,.299,9.1,2.8,11.8,10.3,31.1,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,F-G,jamesle01
10,Kevin Garnett,18.3,2003-04,27,MIN,82,82,1,18.3,112,92,10.4,8.0,.272,6.8,3.3,10.2,10.0,29.4,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,F-C,garneke01
11,Michael Jordan,18.3,1996-97,33,CHI,82,82,1,18.3,121,102,13.3,5.0,.283,7.8,1.1,8.9,8.6,27.8,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,G-F,jordami01
12,Chris Paul,18.3,2008-09,23,NOH,78,78,1,18.3,124,103,13.3,5.0,.292,7.2,3.8,11.0,9.9,30.0,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,G,paulch01
13,David Robinson,18.3,1995-96,30,SAS,82,82,1,18.3,120,96,11.1,7.2,.290,5.8,3.1,8.9,8.3,29.4,12.3,24.2,18.4,14.6,1.9,6.4,9.8,28.8,C,robinda01
14,Stephen Curry,17.9,2015-16,27,GSW,79,79,1,17.9,125,103,13.8,4.1,.318,10.3,1.6,11.9,9.5,31.5,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,G,curryst01
15,Tim Duncan,17.8,2001-02,25,SAS,82,82,1,17.8,114,96,10.7,7.1,.257,5.4,2.2,7.6,8.0,27.0,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,F-C,duncati01
16,Chris Paul,17.8,2007-08,22,NOH,80,80,1,17.8,125,103,13.2,4.6,.284,7.2,3.2,10.4,9.3,28.3,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,G,paulch01
17,Michael Jordan,17.7,1991-92,28,CHI,80,80,1,17.7,121,102,12.1,5.6,.274,7.2,2.5,9.7,9.2,27.7,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,G-F,jordami01
18,Dirk Nowitzki,17.7,2005-06,27,DAL,81,81,1,17.7,123,103,13.5,4.3,.275,7.8,0.4,8.1,7.9,28.1,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,F-C,nowitdi01
19,David Robinson,17.5,1994-95,29,SAS,81,81,1,17.5,120,99,10.7,6.7,.273,6.0,3.2,9.2,8.7,29.1,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,C,robinda01
20,Michael Jordan,17.2,1992-93,29,CHI,78,78,1,17.2,119,102,12.0,5.2,.270,8.7,2.6,11.2,10.2,29.7,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,G-F,jordami01
21,David Robinson,17.0,1990-91,25,SAS,82,81,1,17.0,119,96,9.4,7.6,.264,5.2,3.3,8.5,8.2,27.4,12.6,24.7,19.0,10.9,2.0,6.2,13.7,26.6,C,robinda01
22,Shaquille O'Neal,16.9,1993-94,21,ORL,81,81,1,16.9,120,102,12.1,4.8,.252,6.2,0.6,6.8,7.2,28.5,13.5,23.7,18.7,11.0,1.2,4.5,10.2,29.0,C,onealsh01
23,Karl Malone,16.7,1996-97,33,UTA,82,82,1,16.7,118,101,11.6,5.1,.268,7.1,1.2,8.3,7.8,28.9,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,F,malonka01
24,Tim Duncan,16.5,2002-03,26,SAS,81,81,1,16.5,112,94,9.5,6.9,.248,5.0,2.5,7.6,7.7,26.9,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,F-C,duncati01
25,James Harden,16.4,2014-15,25,HOU,81,81,1,16.4,118,103,12.2,4.2,.265,7.0,1.8,8.8,8.1,26.7,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,G,hardeja01
26,Karl Malone,16.4,1997-98,34,UTA,81,81,1,16.4,118,102,12.1,4.3,.259,6.6,0.7,7.3,7.1,27.9,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,F,malonka01
27,Dirk Nowitzki,16.3,2006-07,28,DAL,78,78,1,16.3,123,102,11.8,4.5,.278,7.2,1.2,8.3,7.4,27.6,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,F-C,nowitdi01
28,LeBron James,16.3,2005-06,21,CLE,79,79,1,16.3,115,104,12.0,4.3,.232,7.5,1.6,9.1,9.4,28.1,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,F-G,jamesle01
29,Dirk Nowitzki,16.1,2002-03,24,DAL,80,80,1,16.1,117,98,10.8,5.3,.249,5.8,1.4,7.2,7.3,25.6,2.9,25.1,14.0,13.3,1.8,2.0,8.1,27.4,F-C,nowitdi01
30,Tracy McGrady,16.1,2002-03,23,ORL,75,74,1,16.1,116,104,13.2,2.9,.262,9.8,0.7,10.5,9.3,30.3,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,G-F,mcgratr01
31,Kevin Durant,16.1,2009-10,21,OKC,82,82,1,16.1,118,104,11.1,5.0,.238,6.3,0.8,7.1,7.5,26.2,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,F-G,duranke01
32,Chris Paul,16.1,2014-15,29,LAC,82,82,1,16.1,126,105,12.9,3.2,.270,6.4,1.6,8.0,7.2,26.0,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,G,paulch01
33,LeBron James,15.9,2013-14,29,MIA,77,77,1,15.9,121,105,12.3,3.7,.264,7.8,1.1,8.8,7.9,29.3,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,F-G,jamesle01
34,Hakeem Olajuwon,15.8,1992-93,30,HOU,82,82,1,15.8,114,96,7.9,8.0,.234,3.9,3.6,7.5,7.8,27.3,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,C,olajuha01
35,Michael Jordan,15.8,1997-98,34,CHI,82,82,1,15.8,114,100,10.4,5.4,.238,5.9,1.0,6.9,7.1,25.2,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,G-F,jordami01
36,Stephen Curry,15.7,2014-15,26,GSW,80,80,1,15.7,122,101,11.5,4.1,.288,8.2,1.7,9.9,7.9,28.0,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,G,curryst01
37,Nikola Jokić,15.6,2020-21,25,DEN,72,72,1,15.6,130,109,12.2,3.4,.301,9.1,3.0,12.1,8.8,31.3,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,C-F,jokicni01
38,Kevin Garnett,15.6,2002-03,26,MIN,82,82,1,15.6,113,98,9.8,5.8,.225,6.0,2.4,8.4,8.7,26.4,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,F-C,garneke01
39,Dirk Nowitzki,15.6,2004-05,26,DAL,78,78,1,15.6,118,100,10.3,5.2,.248,5.8,1.5,7.3,7.1,26.1,3.6,24.0,14.0,14.3,1.7,2.9,9.1,28.7,F-C,nowitdi01
40,LeBron James,15.6,2010-11,26,MIA,79,79,1,15.6,116,102,10.3,5.3,.244,6.3,1.8,8.1,7.8,27.3,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,F-G,jamesle01
